id,l10n_id_efaktur_code
base.af,AFG
base.al,ALB
base.dz,DZA
base.as,ASM
base.ad,AND
base.ao,AGO
base.ai,AIA
base.aq,ATA
base.ag,ATG
base.ar,ARG
base.am,ARM
base.aw,ABW
base.au,AUS
base.at,AUT
base.az,AZE
base.bs,BHS
base.bh,BHR
base.bd,BGD
base.bb,BRB
base.by,BLR
base.be,BEL
base.bz,BLZ
base.bj,BEN
base.bm,BMU
base.bt,BTN
base.bo,BOL
base.bq,BES
base.ba,BIH
base.bw,BWA
base.bv,BVT
base.br,BRA
base.io,IOT
base.bn,BRN
base.bg,BGR
base.bf,BFA
base.bi,BDI
base.cv,CPV
base.kh,KHM
base.cm,CMR
base.ca,CAN
base.ky,CYM
base.cf,CAF
base.td,TCD
base.cl,CHL
base.cn,CHN
base.cx,CXR
base.cc,CCK
base.co,COL
base.km,COM
base.cd,COD
base.cg,COG
base.ck,COK
base.cr,CRI
base.hr,HRV
base.cu,CUB
base.cw,CUW
base.cy,CYP
base.cz,CZE
base.ci,CIV
base.dk,DNK
base.dj,DJI
base.dm,DMA
base.do,DOM
base.ec,ECU
base.eg,EGY
base.sv,SLV
base.gq,GNQ
base.er,ERI
base.ee,EST
base.sz,SWZ
base.et,ETH
base.fk,FLK
base.fo,FRO
base.fj,FJI
base.fi,FIN
base.fr,FRA
base.gf,GUF
base.pf,PYF
base.tf,ATF
base.ga,GAB
base.gm,GMB
base.ge,GEO
base.de,DEU
base.gh,GHA
base.gi,GIB
base.gr,GRC
base.gl,GRL
base.gd,GRD
base.gp,GLP
base.gu,GUM
base.gt,GTM
base.gg,GGY
base.gn,GIN
base.gw,GNB
base.gy,GUY
base.ht,HTI
base.hm,HMD
base.va,VAT
base.hn,HND
base.hk,HKG
base.hu,HUN
base.is,ISL
base.in,IND
base.id,IDN
base.ir,IRN
base.iq,IRQ
base.ie,IRL
base.im,IMN
base.il,ISR
base.it,ITA
base.jm,JAM
base.jp,JPN
base.je,JEY
base.jo,JOR
base.kz,KAZ
base.ke,KEN
base.ki,KIR
base.kp,PRK
base.kr,KOR
base.kw,KWT
base.kg,KGZ
base.la,LAO
base.lv,LVA
base.lb,LBN
base.ls,LSO
base.lr,LBR
base.ly,LBY
base.li,LIE
base.lt,LTU
base.lu,LUX
base.mo,MAC
base.mg,MDG
base.mw,MWI
base.my,MYS
base.mv,MDV
base.ml,MLI
base.mt,MLT
base.mh,MHL
base.mq,MTQ
base.mr,MRT
base.mu,MUS
base.yt,MYT
base.mx,MEX
base.fm,FSM
base.md,MDA
base.mc,MCO
base.mn,MNG
base.me,MNE
base.ms,MSR
base.ma,MAR
base.mz,MOZ
base.mm,MMR
base.na,NAM
base.nr,NRU
base.np,NPL
base.nl,NLD
base.nc,NCL
base.nz,NZL
base.ni,NIC
base.ne,NER
base.ng,NGA
base.nu,NIU
base.nf,NFK
base.mp,MNP
base.no,NOR
base.om,OMN
base.pk,PAK
base.pw,PLW
base.ps,PSE
base.pa,PAN
base.pg,PNG
base.py,PRY
base.pe,PER
base.ph,PHL
base.pn,PCN
base.pl,POL
base.pt,PRT
base.pr,PRI
base.qa,QAT
base.mk,MKD
base.ro,ROU
base.ru,RUS
base.rw,RWA
base.re,REU
base.bl,BLM
base.sh,SHN
base.kn,KNA
base.lc,LCA
base.mf,MAF
base.pm,SPM
base.vc,VCT
base.ws,WSM
base.sm,SMR
base.st,STP
base.sa,SAU
base.sn,SEN
base.rs,SRB
base.sc,SYC
base.sl,SLE
base.sg,SGP
base.sx,SXM
base.sk,SVK
base.si,SVN
base.sb,SLB
base.so,SOM
base.za,ZAF
base.gs,SGS
base.ss,SSD
base.es,ESP
base.lk,LKA
base.sd,SDN
base.sr,SUR
base.sj,SJM
base.se,SWE
base.ch,CHE
base.sy,SYR
base.tw,TWN
base.tj,TJK
base.tz,TZA
base.th,THA
base.tl,TLS
base.tg,TGO
base.tk,TKL
base.to,TON
base.tt,TTO
base.tn,TUN
base.tr,TUR
base.tm,TKM
base.tc,TCA
base.tv,TUV
base.ug,UGA
base.ua,UKR
base.ae,ARE
base.gi,GBR
base.um,UMI
base.us,USA
base.uy,URY
base.uz,UZB
base.vu,VUT
base.ve,VEN
base.vn,VNM
base.vg,VGB
base.vi,VIR
base.wf,WLF
base.eh,ESH
base.ye,YEM
base.zm,ZMB
base.zw,ZWE
base.ax,ALA
