"id","code_prefix_start","code_prefix_end","name","name@km_KH"
"l10n_kh_group_10_10","10","10","Bank and Cash","ធនាគារនិងសាច់ប្រាក់"
"l10n_kh_group_11_15","11","15","Current Assets","ទ្រព្យសកម្មរយៈពេលខ្លី"
"l10n_kh_group_16_16","16","16","Prepayments","ការបង់ប្រាក់មុន"
"l10n_kh_group_20_20","20","20","Income","ចំណូល"
"l10n_kh_group_21_22","21","22","Other Income","ចំណូលផ្សេងៗ"
"l10n_kh_group_3_3","3","3","Cost of Revenue","ថ្លៃដើមនៃចំណូល"
"l10n_kh_group_4_4","4","4","Expenses","ចំណាយ"
"l10n_kh_group_5_5","5","5","Receivable","ត្រូវទទួល"
"l10n_kh_group_6_6","6","6","Payable","ត្រូវសង"
"l10n_kh_group_72_74","72","74","Fixed Assets","ទ្រព្យសកម្ម"
"l10n_kh_group_75_87","75","87","Current Liabilities","បំណុលរយៈពេលខ្លី"
"l10n_kh_group_90_90","90","90","Non-current Liabilities","បំណុលរយៈពេលវែង"
"l10n_kh_group_91_91","91","91","Equity","ដើមទុន"
